site_name,sid,school_name,idph_center_name,campus_sids,sponsor_cps,sponsor_idph,setting,match_basis,site_address,school_address,zip,community,ward,lat,lon,idph_certified,cps_listed,hrsa_scope,hrsa_site_num,hrsa_site_name,hrsa_grantee,hrsa_setting_desc,hrsa_site_type,hrsa_status,hrsa_sbhc_subprogram,access_text,open_to_public,hours,phone,coord_basis,cps_status_2025,cps_adjusted_su,cps_colo,review_note,source,resolved_sponsor,resolved_setting,resolved_site_address,resolved_zip,resolved_phone,resolved_hours,resolved_access_text,resolved_school_name,resolved_operational_status,resolved_lat_lon,operational_status,closed_on,hours_medical_school_year,hours_medical_summer,hours_dental,room_or_entrance,sponsor_legal_name,resolution_confidence,resolution_fields,resolution_sources,resolution_note,verified_on
Benito Juarez Community Academy High School,609764,Benito Juarez Community Academy High School,Juarez High School SHC,,Alivio Medical Center,Alivio Medical Center,in_building,cps_school_id+school_name,"1450 West Cermak Rd, Chicago, IL 60608",1450 W CERMAK RD,60608,LOWER WEST SIDE,25,41.8529,-87.66455,true,true,true,BPS-H80-013554,Benito Juarez Community Academy,"ALIVIO MEDICAL CENTER, INC",School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon, Wed, Thur: 8:30am-4:30pm",773-254-1400,hrsa_site,Efficient,1.09,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,,in_building,1450 W Cermak Rd,,773-579-2691,,,,,,operating,,"Mon, Wed, Thur: 8:30am-4:30pm",,,,,high,hours_split(carried) operational_status(high) phone(high) setting(high) site_address(high),https://alivio.org/services/pediatrics/ | https://alivio.org/locations/ | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[setting] Alivio: 'We also operate three school-based health centers, providing on-site, accessible health services to the students and community of Benito Juarez Community Academy, Orozco Community Academy, and Little Village Lawndale High School.' [site_address] Operator and current CPS booklet agree. Juarez occupies the block; Laflin St is a secondary frontage. [phone] IDPH and the current CPS booklet agree on the site line; the uploaded CPS sheet carries Alivio's central number instead. [operational_status] Listed on the operator's current site.",2026-09-12
Charles P Steinmetz College Preparatory HS,609732,Charles P Steinmetz College Preparatory HS,Steinmetz SHC,,PCC Community Wellness Center,PCC Community Center Wellness,in_building,cps_school_id+cps_directory_address,"3030 N Mobile Ave, Chicago, IL 60634",3030 N MOBILE AVE,60634,BELMONT CRAGIN,30,41.935603,-87.78434,true,true,true,BPS-H80-015567,PCC Steinmetz Health Center,PCC COMMUNITY WELLNESS CENTER,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon-Fri: 8:00am-5:00pm, Wed (3rd & 4th of the month): 9:00am-5:00pm, Thur: 8:00am-8:00pm (depending on doctor availability) If doctor is not avilable SBHC will close at 5:00pm on Thur.",773-622-5679,hrsa_site,Underutilized,0.67,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,PCC Community Wellness Center,,,,,,,,,,operating,,"Mon-Fri: 8:00am-5:00pm, Wed (3rd & 4th of the month): 9:00am-5:00pm, Thur: 8:00am-8:00pm (depending on doctor availability) If doctor is not avilable SBHC will close at 5:00pm on Thur.",,,,,high,hours_split(carried) operational_status(high) sponsor(high),https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[sponsor] IDPH has the words transposed. CPS booklet abbreviates the sponsor 'PCC CWC'. [operational_status] Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs",2026-09-12
Chicago Vocational Career Academy High School,609674,Chicago Vocational Career Academy High School,Chicago Vocational Career Academy SHC,,Chicago Family Health Center,Chicago Family Health Center,in_building,cps_school_id+cps_directory_address,"2100 E 87th St, Chicago, IL 60617",2100 E 87TH ST,60617,AVALON PARK,8,41.737728,-87.572531,true,true,true,BPS-H80-027541,Chicago Family Health Center - CVCA,CHICAGO FAMILY HEALTH CENTER INC,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:30am-5:00pm,773-816-5081,hrsa_site,Underutilized,0.24,0,IDPH prints the sponsor on the center-name line and the school on the sponsor line for this entry; transposed here.,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,,,,60617,773-768-5000,,,,,,operating,,Mon-Fri: 8:30am-5:00pm,,,,,medium,hours_split(carried) operational_status(high) phone(medium) zip(high),https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,"[zip] IDPH ZIP is wrong. [phone] IDPH and the current CPS booklet agree; 773-768-5000 is Chicago Family Health Center's main line, so the site may also have a direct line that is no longer published. [operational_status] Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs",2026-09-12
David G Farragut Career Academy High School,609704,David G Farragut Career Academy High School,Farragut SHC,,Lawndale Christian Health Center,Lawndale Christian Health Center,in_building,cps_school_id+school_name,"2345 S Christiana Ave, Chicago, IL 60623",2345 S CHRISTIANA AVE,60623,SOUTH LAWNDALE,22,41.848326,-87.708367,true,true,true,BPS-H80-001032,LCHC at Farragut Academy,LAWNDALE CHRISTIAN HEALTH CENTER,School,Administrative/Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Monday-Friday: 8:30am-5pm,872-588-3540,hrsa_site,Underutilized,0.26,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,,in_building,3256 W 24th St,,872-588-3540,Mon: 8:30am-5:00pm; Tue: 8:30am-7:00pm; Wed-Fri: 8:30am-5:00pm,,,,,operating,,Mon: 8:30am-5:00pm; Tue: 8:30am-7:00pm; Wed-Fri: 8:30am-5:00pm,,,Entrance at 3256 W 24th St,,high,hours(high) hours_split(high) operational_status(high) phone(high) room_or_entrance(high) setting(high) site_address(high),https://lawndale.org/farragut-academy | https://340bopais.hrsa.gov/cedetails/19531 | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[setting] LCHC states the clinic is 'located within Farragut Career Academy'. The 24th Street address is the clinic's own entrance on the school's south frontage. [site_address] Clinic's own published address. School building address remains 2345 S Christiana Ave. [hours] Both CPS sources miss the Tuesday evening extension to 7pm. [phone] IDPH carries LCHC's main switchboard, not the site line. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published. [room_or_entrance] LCHC states the clinic is within Farragut Career Academy; the 24th Street address is its own entrance on the school's south frontage.",2026-09-12
Englewood STEM High School,610592,Englewood STEM High School,Mile Square Englewood Stem Health and Wellness SHC,,UI Health,"Board of Trustees, U of I at Chicago",in_building,cps_school_id+cps_directory_address,"6835 S Normal Blvd, Chicago, IL 60621",6835 S NORMAL BLVD,60621,ENGLEWOOD,6,41.769599,-87.6363,true,true,true,BPS-H80-028185,Mile Square Englewood Health and Wellness Center,University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:00am-4:30pm,312-355-5801,hrsa_site,Underutilized,0.49,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,UI Health Mile Square Health Center,,,,,Mon-Fri: 8:00am-4:30pm,,,,,operating,,Mon-Fri: 8:00am-4:30pm,,,Door 2,"Board of Trustees, U of I at Chicago",medium,hours(medium) hours_split(medium) operational_status(high) room_or_entrance(high) sponsor(high),https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/ | https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/englewood-stem | https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,"[sponsor] Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center. [hours] Two CPS sources agree on 4:30pm close; UIC's OCEANHP program page says 4:00pm and appears to be the older of the two. [operational_status] Listed on the operator's current site. [hours_split] Two CPS sources agree on the 4:30pm close; UIC's OCEANHP page says 4:00pm and appears older. Mile Square publishes no separate summer window for this site. [room_or_entrance] Mile Square publishes the address as '6835 S. Normal Blvd. Door 2'.",2026-09-12
Esperanza at Cultivate Collective,,,,,,,school_linked,unmatched,"4350 S Laporte Ave, Chicago, IL 60638",,60638,,,41.812996,-87.747111,false,false,true,BPS-H80-037254,Esperanza at Cultivate Collective,ESPERANZA HEALTH CENTERS,School,Service Delivery Site,Active,N,,,,,hrsa_site,,,,"No CPS school building at this address; the host school, if any, is unresolved",hrsa_il_school_setting@2026-09-11,,in_building,,,,"Mon: 7:30am-5:00pm; Tue: 7:30am-4:30pm; Wed: 7:30am-5:00pm; Thu (1st & 3rd): 11:30am-6:30pm; Thu (2nd, 4th, 5th): 7:30am-4:30pm; Fri: 7:30am-4:30pm; Sat (4th of month): 7:30am-3:30pm",,Academy for Global Citizenship,,,operating,,"Mon: 7:30am-5:00pm; Tue: 7:30am-4:30pm; Wed: 7:30am-5:00pm; Thu (1st & 3rd): 11:30am-6:30pm; Thu (2nd, 4th, 5th): 7:30am-4:30pm; Fri: 7:30am-4:30pm; Sat (4th of month): 7:30am-3:30pm",,,,,medium,hours(high) hours_split(high) operational_status(high) school_name(medium) setting(medium),https://www.esperanzachicago.org/location/esperanza-cultivate-collective | https://cultivate-collective.org/services/health-wellness,"[school_name] Resolves the 'host school unresolved' note. The clinic sits on the Cultivate Collective campus in LeClaire Courts, which Cultivate describes as an 'on-site Health Clinic operated by Esperanza Health Centers' serving 'community members and AGC students'. AGC = Academy for Global Citizenship, a CPS charter. [setting] On-campus, but the clinic address (4350 S Laporte Ave) differs from Cultivate Collective's main address (4942 W 44th St), so building-level placement is not certain. Note this site is neither IDPH-certified nor in CPS's SBHC directory; it may not meet a strict SBHC definition. [hours] Fills a null. Operator-published. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published.",2026-09-12
George Washington Carver Military Academy HS,609760,George Washington Carver Military Academy HS,Carver SHC,,"TCA Health, Inc.","TCA Health, Inc.",in_building,cps_school_id+school_name,"13100 S Doty Ave, Chicago, IL 60827",13100 S DOTY AVE,60827,RIVERDALE,10,41.656525,-87.58933,true,true,true,BPS-H80-002916,"CARVER MILITARY ACADEMY/TCA HLTH,INC","TCA HEALTH, INC. NFP",School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,Mon-Wed: 9:00am-1pm,773-535-5357,hrsa_site,Underutilized,0.32,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,,,"13100 S Doty Ave, Chicago, IL 60827",,,Mon-Fri: 9:00am-4:00pm,Open to enrolled students at the school,,,,operating,,Mon-Fri: 9:00am-4:00pm,,,,,medium,access_text(high) hours(medium) hours_split(high) operational_status(high) site_address(high),https://tcahealth.org/carver-military-academy-school-based-health-center/,"[site_address] IDPH has both the street type and the ZIP wrong (60627 vs 60827). [hours] Operator publishes a five-day 9-4 schedule against CPS's three-day 9-1. Large gap; operator page last dated 2023, so worth a phone confirm. [access_text] Operator confirms the restriction CPS records. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published.",2026-09-12
Greater Lawndale High School For Social Justice,610383,Greater Lawndale High School For Social Justice,Little Village Lawndale SHC,610383;610384;610385;610392,Alivio Medical Center,Alivio Medical Center,in_building,cps_school_id+cps_directory_address,"3120 S Kostner Ave, Chicago, IL, 60623",3120 S KOSTNER AVE,60623,SOUTH LAWNDALE,22,41.835167,-87.735566,true,true,true,BPS-H80-009457,Little Village Lawndale Community High School Campus,"ALIVIO MEDICAL CENTER, INC",School,Service Delivery Site,Active,N,"Open to Enrolled Students at Infinity HS, Multicultural Arts HS, Little Village HS, World Language HS",false,Mon-Fri: 8:30am-12:00pm; 1:00pm-4:00pm,773-254-1400,hrsa_site,Efficient,0.87,1,"4 CPS schools share this building; a center here is a campus asset, not one school's",cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,,in_building,,,,,,,,,operating,,,,,,,unresolved,hours(unresolved) hours_split(unresolved) operational_status(high) setting(high),https://alivio.org/services/pediatrics/ | https://alivio.org/locations/lawndale/ | https://alivio.org/locations/,"[setting] Alivio: 'We also operate three school-based health centers, providing on-site, accessible health services to the students and community of Benito Juarez Community Academy, Orozco Community Academy, and Little Village Lawndale High School.' [hours] NOT RESOLVED. A provider-claimed third-party listing shows a much narrower schedule including a Wednesday closure; Alivio's own site publishes no hours for this site. Left null; needs a phone confirm. [operational_status] Listed on the operator's current site. [hours_split] Alivio publishes no hours for this site. A provider-claimed third-party listing shows a much narrower week including a Wednesday closure, against the CPS sheet's Mon-Fri split-shift value. Needs a phone confirm.",2026-09-12
James Weldon Johnson STEAM Elementary School,610274,James Weldon Johnson STEAM Elementary School,Johnson SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+school_name,"1420 S Albany Ave, Chicago, IL 60623",1420 S ALBANY AVE,60623,NORTH LAWNDALE,24,41.861116,-87.703417,true,true,true,BPS-H80-012779,Erie Johnson School-Based Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:00am-4:30pm,312-666-3494,hrsa_site,Underutilized,0.38,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,Erie Family Health Centers,school_linked,1504 S Albany Ave,,,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,,,operating,,"Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",,,,,medium,hours(high) hours_split(high) operational_status(high) setting(high) site_address(medium) sponsor(high),https://www.eriefamilyhealth.org/locations/ | https://www.eriefamilyhealth.org/locations/johnson/ | https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,"[sponsor] Operator uses the plural form; IDPH and HRSA carry the older singular. [site_address] Operator (Erie), IDPH and CDPH 2014 all say 1504 S Albany; HRSA's coordinate in sbhc.csv (41.8611) also matches 1504 rather than 1420. CPS gives 1420 S Albany in both the uploaded sheet and the 2025-26 booklet - that is the school building address. [setting] CORRECTED from sbhc.csv's in_building. 1504 S Albany is a separate building from the Johnson school building at 1420 S Albany, confirmed by local knowledge on 2026-09-12. CPS publishes the school address for this center in both the uploaded sheet and the 2025-26 booklet, which is what produced the bad in_building classification. coord_basis stays 'hrsa_site': the existing coordinate (41.861116, -87.703417) is the center's own, not the school's, so the school_linked coordinate rule in test_sbhc.py passes unchanged. Note this row no longer needs to satisfy the in_building/sid rule. [hours] Both CPS sources miss the Wednesday 10am open. [operational_status] Listed on the operator's current site. [hours_split] School-year medical schedule. No summer or dental schedule published.",2026-09-12
John B Drake Elementary School,609894,John B Drake Elementary School,Drake Elementary SHC,,UI Health,"Board of Trustees, U of I at Chicago",in_building,cps_school_id+cps_directory_address,"2710 S Dearborn St, Chicago, IL 60616",2710 S DEARBORN ST,60616,DOUGLAS,3,41.84347,-87.628733,true,true,true,BPS-H80-027383,Mile Square  Dr. Cynthia Barnes Boyd/Drake Health and Wellness Center,University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:00am-4:00pm,312-355-5746,hrsa_site,Underutilized,0.31,0,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11,UI Health Mile Square Health Center,,,,,,Open to the community,,,,operating,,,Mon-Fri: 7:00am-3:30pm (Jun 16 - Aug 8),,,"Board of Trustees, U of I at Chicago",unresolved,access_text(high) hours(unresolved) hours_split(medium) operational_status(high) phone(unresolved) sponsor(high),https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics | https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/barnes-boyd | https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/ | https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf | https://nursing.uic.edu/news-stories/school-based-community-health-center-named-for-uic-nursing-alumna-opens,"[sponsor] Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center. [hours] NOT RESOLVED. UI Health's two own pages disagree with each other. CPS booklet and OCEANHP both say 8a-4p; the Mile Square location page says 8:30a-4:30p. Left null. [phone] NOT RESOLVED. Both sheets and the CPS booklet say ...5746; both UI Health pages say ...5745. One digit apart, so a typo exists on one side. Left null. [access_text] Confirmed. [operational_status] Listed on the operator's current site. [hours_split] Summer window is unambiguous on the operator's location page. School-year hours stay empty: the Mile Square location page says 8:30am-4:30pm while UIC's OCEANHP page and the CPS booklet both say 8:00am-4:00pm. Splitting the field isolates the conflict to one cell instead of discarding the summer value with it.",2026-09-12
